epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2976.79,0.84538,0.86503,1.27855,0.87298,0.80979,0.89811,0.64564,0.8943,0.77644,1.34813,0.00104231,0.00104231,0.00104231
43,3047.41,0.83114,0.85354,1.26986,0.87381,0.81868,0.89599,0.6428,0.90059,0.77788,1.35069,0.00103288,0.00103288,0.00103288
44,3117.83,0.84367,0.85928,1.28064,0.87812,0.8186,0.89921,0.64622,0.90987,0.78306,1.35772,0.00102345,0.00102345,0.00102345
45,3189.39,0.8321,0.85736,1.26438,0.86638,0.82392,0.89521,0.64947,0.89816,0.75608,1.34531,0.00101402,0.00101402,0.00101402
46,3259.84,0.83427,0.85156,1.26398,0.87902,0.81101,0.89649,0.65063,0.89736,0.75095,1.3367,0.00100459,0.00100459,0.00100459
47,3330.16,0.82312,0.8333,1.2579,0.87199,0.82147,0.90157,0.65232,0.89378,0.77122,1.3424,0.000995156,0.000995156,0.000995156
48,3402.42,0.82362,0.84423,1.25917,0.88234,0.82551,0.90712,0.65689,0.8917,0.75701,1.32781,0.000985724,0.000985724,0.000985724
49,3474.9,0.82101,0.83224,1.25904,0.86335,0.8309,0.89985,0.64452,0.90402,0.76257,1.3509,0.000976293,0.000976293,0.000976293
50,3548.6,0.81003,0.82127,1.25615,0.86828,0.82706,0.89969,0.65103,0.90951,0.76951,1.35676,0.000966861,0.000966861,0.000966861
51,3619.59,0.82101,0.8184,1.25918,0.88078,0.81573,0.90322,0.65537,0.89055,0.74355,1.3379,0.00095743,0.00095743,0.00095743
52,3691.16,0.81025,0.8128,1.24729,0.86583,0.83257,0.90337,0.65618,0.88344,0.73978,1.33021,0.000947999,0.000947999,0.000947999
53,3763.71,0.80959,0.81279,1.24614,0.87554,0.83371,0.90825,0.66062,0.87792,0.7339,1.32579,0.000938567,0.000938567,0.000938567
54,3835.14,0.81757,0.81624,1.24864,0.87788,0.82573,0.90497,0.6591,0.87355,0.72271,1.3143,0.000929136,0.000929136,0.000929136
55,3908.75,0.8095,0.798,1.24214,0.89513,0.83418,0.91147,0.65824,0.87753,0.72036,1.31735,0.000919704,0.000919704,0.000919704
56,3979.93,0.80466,0.79397,1.24414,0.88046,0.83252,0.90242,0.65492,0.88562,0.7463,1.33933,0.000910273,0.000910273,0.000910273
57,4052.31,0.80595,0.7992,1.24821,0.88865,0.82678,0.90987,0.66801,0.8699,0.72151,1.31505,0.000900842,0.000900842,0.000900842
58,4125.34,0.79586,0.79376,1.23683,0.90713,0.81719,0.91398,0.66475,0.87015,0.72124,1.31702,0.00089141,0.00089141,0.00089141
59,4198.21,0.79715,0.78781,1.24248,0.8834,0.83478,0.90751,0.67061,0.87636,0.71206,1.31511,0.000881979,0.000881979,0.000881979
60,4272.23,0.80068,0.79394,1.24376,0.89133,0.82317,0.9091,0.66838,0.86563,0.72947,1.30741,0.000872547,0.000872547,0.000872547
61,4346.22,0.78625,0.77096,1.23244,0.88688,0.83752,0.90788,0.6629,0.88591,0.71993,1.3218,0.000863116,0.000863116,0.000863116
62,4419.7,0.7863,0.77796,1.23385,0.88246,0.84637,0.91001,0.66254,0.88142,0.71569,1.32026,0.000853685,0.000853685,0.000853685
63,4490.56,0.78417,0.77555,1.2314,0.88784,0.8451,0.91027,0.67881,0.84734,0.68713,1.29407,0.000844253,0.000844253,0.000844253
64,4562.63,0.7843,0.76591,1.23127,0.89921,0.85396,0.91945,0.68303,0.85422,0.69273,1.2875,0.000834822,0.000834822,0.000834822
65,4633.18,0.78033,0.75364,1.21909,0.89848,0.84539,0.91938,0.6802,0.85248,0.68909,1.2996,0.00082539,0.00082539,0.00082539
